Run,Time_ASM,Time_C
1,0.192000,2.025000
2,0.194000,1.972000
3,0.149000,1.971000
4,0.151000,1.964000
5,0.188000,1.954000
6,0.150000,2.004000
7,0.148000,1.953000
8,0.152000,1.954000
9,0.150000,1.952000
10,0.148000,1.948000
11,0.151000,1.952000
12,0.150000,1.955000
13,0.150000,1.954000
14,0.170000,1.945000
15,0.149000,1.953000
16,0.149000,1.970000
17,0.149000,1.955000
18,0.148000,1.965000
19,0.149000,1.985000
20,0.149000,1.965000
21,0.151000,1.951000
22,0.148000,1.952000
23,0.148000,1.974000
24,0.153000,1.950000
25,0.151000,1.959000
26,0.152000,1.956000
27,0.152000,1.952000
28,0.155000,1.955000
29,0.152000,1.950000
30,0.152000,1.951000
