Run,Time_ASM,Time_C
1,0.000000,0.001000
2,0.000000,0.001000
3,0.000000,0.001000
4,0.000000,0.001000
5,0.000000,0.001000
6,0.000000,0.001000
7,0.000000,0.001000
8,0.000000,0.001000
9,0.000000,0.001000
10,0.000000,0.001000
11,0.000000,0.002000
12,0.000000,0.001000
13,0.000000,0.001000
14,0.001000,0.001000
15,0.000000,0.001000
16,0.000000,0.001000
17,0.000000,0.001000
18,0.000000,0.001000
19,0.000000,0.001000
20,0.000000,0.001000
21,0.000000,0.001000
22,0.000000,0.001000
23,0.000000,0.002000
24,0.000000,0.001000
25,0.000000,0.001000
26,0.000000,0.001000
27,0.000000,0.001000
28,0.000000,0.001000
29,0.000000,0.001000
30,0.000000,0.001000
