Run,Time_ASM,Time_C
1,0.003000,0.098000
2,0.003000,0.099000
3,0.002000,0.099000
4,0.003000,0.098000
5,0.003000,0.099000
6,0.003000,0.098000
7,0.003000,0.099000
8,0.002000,0.100000
9,0.003000,0.100000
10,0.003000,0.098000
11,0.002000,0.101000
12,0.002000,0.099000
13,0.003000,0.099000
14,0.003000,0.099000
15,0.003000,0.098000
16,0.002000,0.099000
17,0.003000,0.099000
18,0.003000,0.099000
19,0.004000,0.098000
20,0.003000,0.099000
21,0.003000,0.099000
22,0.003000,0.098000
23,0.003000,0.099000
24,0.003000,0.099000
25,0.003000,0.099000
26,0.003000,0.099000
27,0.003000,0.098000
28,0.003000,0.099000
29,0.003000,0.099000
30,0.003000,0.099000
