Run,Time_ASM,Time_C
1,0.282000,10.000000
2,0.260000,9.940000
3,0.248000,9.961000
4,0.252000,9.934000
5,0.248000,9.968000
6,0.249000,9.947000
7,0.278000,9.970000
8,0.249000,9.934000
9,0.248000,9.951000
10,0.251000,9.941000
11,0.247000,9.947000
12,0.248000,9.975000
13,0.248000,9.963000
14,0.250000,9.987000
15,0.250000,9.987000
16,0.248000,9.921000
17,0.251000,9.941000
18,0.252000,9.976000
19,0.248000,9.954000
20,0.249000,9.947000
21,0.247000,9.972000
22,0.249000,9.964000
23,0.248000,9.987000
24,0.251000,10.033000
25,0.251000,9.942000
26,0.256000,9.946000
27,0.259000,9.971000
28,0.253000,9.919000
29,0.251000,10.013000
30,0.251000,9.940000
